Seaside - Saranda,http://www.hostelworld.com/hosteldetails.php/Seaside-Saranda/Saranda/59469,Standard 3 Bed Private Ensuite,27.04
Bahamas Resort,http://www.hostelworld.com/hosteldetails.php/Bahamas-Resort/Saranda/75806,Standard Double Bed Private Ensuite,37.08
Bahamas Resort,http://www.hostelworld.com/hosteldetails.php/Bahamas-Resort/Saranda/75806,Standard 3 Bed Private Ensuite,28.34
Bahamas Resort,http://www.hostelworld.com/hosteldetails.php/Bahamas-Resort/Saranda/75806,Standard 4 Bed Private Ensuite,23.22
Hostel Mi Casa es Tu Casa,http://www.hostelworld.com/hosteldetails.php/Hostel-Mi-Casa-es-Tu-Casa/Shkoder/75143,Basic Double Bed Private Shared Bathroom,20.28
Hostel Mi Casa es Tu Casa,http://www.hostelworld.com/hosteldetails.php/Hostel-Mi-Casa-es-Tu-Casa/Shkoder/75143,Deluxe Double Bed Private Shared Bathroom,21.73
Hostel Mi Casa es Tu Casa,http://www.hostelworld.com/hosteldetails.php/Hostel-Mi-Casa-es-Tu-Casa/Shkoder/75143,Standard 8 Bed Mixed Dorm Ensuite,17.38
Florian Shkodra Guesthouse,http://www.hostelworld.com/hosteldetails.php/Florian-Shkodra-Guesthouse/Shkoder/46642,Standard 4 Bed Mixed Dorm,17.38
Lake Shkodra Resort,http://www.hostelworld.com/hosteldetails.php/Lake-Shkodra-Resort/Shkoder/73684,Deluxe 2 Bed Tent Shared Bathroom,13.04
Lake Shkodra Resort,http://www.hostelworld.com/hosteldetails.php/Lake-Shkodra-Resort/Shkoder/73684,Deluxe 3 Bed Tent Shared Bathroom,12.67
Otedis Shkoder Viola,http://www.hostelworld.com/hosteldetails.php/Otedis-Shkoder-Viola/Shkoder/83669,Basic Single Private Shared Bathroom,43.45
Otedis Shkoder Viola,http://www.hostelworld.com/hosteldetails.php/Otedis-Shkoder-Viola/Shkoder/83669,Basic Twin Private Shared Bathroom,23.9
Otedis Shkoder Viola,http://www.hostelworld.com/hosteldetails.php/Otedis-Shkoder-Viola/Shkoder/83669,Standard Double Bed Private Shared Bathroom,23.9
Otedis Shkoder Viola,http://www.hostelworld.com/hosteldetails.php/Otedis-Shkoder-Viola/Shkoder/83669,Basic 3 Bed Private Shared Bathroom,26.55
Otedis Shkoder Viola,http://www.hostelworld.com/hosteldetails.php/Otedis-Shkoder-Viola/Shkoder/83669,Basic 6 Bed Private Shared Bathroom,15.69
Colosseo - Shkoder,http://www.hostelworld.com/hosteldetails.php/Colosseo-Shkoder/Shkoder/62882,Standard Single Private Ensuite,107.18
