Lake Ohrid Hostel,http://www.hostelworld.com/hosteldetails.php/Lake-Ohrid-Hostel/Pogradec/65847,Value,97
Lake Ohrid Hostel,http://www.hostelworld.com/hosteldetails.php/Lake-Ohrid-Hostel/Pogradec/65847,Safety,100
Lake Ohrid Hostel,http://www.hostelworld.com/hosteldetails.php/Lake-Ohrid-Hostel/Pogradec/65847,Location,99
Lake Ohrid Hostel,http://www.hostelworld.com/hosteldetails.php/Lake-Ohrid-Hostel/Pogradec/65847,Staff,99
Lake Ohrid Hostel,http://www.hostelworld.com/hosteldetails.php/Lake-Ohrid-Hostel/Pogradec/65847,Atmosphere,99
Lake Ohrid Hostel,http://www.hostelworld.com/hosteldetails.php/Lake-Ohrid-Hostel/Pogradec/65847,Cleanliness,99
Lake Ohrid Hostel,http://www.hostelworld.com/hosteldetails.php/Lake-Ohrid-Hostel/Pogradec/65847,Facilities,96
SR Backpackers,http://www.hostelworld.com/hosteldetails.php/SR-Backpackers/Saranda/39497,Value,100
SR Backpackers,http://www.hostelworld.com/hosteldetails.php/SR-Backpackers/Saranda/39497,Safety,100
SR Backpackers,http://www.hostelworld.com/hosteldetails.php/SR-Backpackers/Saranda/39497,Location,100
SR Backpackers,http://www.hostelworld.com/hosteldetails.php/SR-Backpackers/Saranda/39497,Staff,100
SR Backpackers,http://www.hostelworld.com/hosteldetails.php/SR-Backpackers/Saranda/39497,Atmosphere,100
SR Backpackers,http://www.hostelworld.com/hosteldetails.php/SR-Backpackers/Saranda/39497,Cleanliness,100
SR Backpackers,http://www.hostelworld.com/hosteldetails.php/SR-Backpackers/Saranda/39497,Facilities,100
Tani's Bar & Guesthouse,http://www.hostelworld.com/hosteldetails.php/Tani-s-Bar-and-Guesthouse/Saranda/30679,Value,91
Tani's Bar & Guesthouse,http://www.hostelworld.com/hosteldetails.php/Tani-s-Bar-and-Guesthouse/Saranda/30679,Safety,88
Tani's Bar & Guesthouse,http://www.hostelworld.com/hosteldetails.php/Tani-s-Bar-and-Guesthouse/Saranda/30679,Location,83
Tani's Bar & Guesthouse,http://www.hostelworld.com/hosteldetails.php/Tani-s-Bar-and-Guesthouse/Saranda/30679,Staff,92
Tani's Bar & Guesthouse,http://www.hostelworld.com/hosteldetails.php/Tani-s-Bar-and-Guesthouse/Saranda/30679,Atmosphere,85
Tani's Bar & Guesthouse,http://www.hostelworld.com/hosteldetails.php/Tani-s-Bar-and-Guesthouse/Saranda/30679,Cleanliness,83
Tani's Bar & Guesthouse,http://www.hostelworld.com/hosteldetails.php/Tani-s-Bar-and-Guesthouse/Saranda/30679,Facilities,86
Hairy Lemon,http://www.hostelworld.com/hosteldetails.php/Hairy-Lemon/Saranda/28488,Value,80
Hairy Lemon,http://www.hostelworld.com/hosteldetails.php/Hairy-Lemon/Saranda/28488,Safety,100
Hairy Lemon,http://www.hostelworld.com/hosteldetails.php/Hairy-Lemon/Saranda/28488,Location,60
Hairy Lemon,http://www.hostelworld.com/hosteldetails.php/Hairy-Lemon/Saranda/28488,Staff,100
Hairy Lemon,http://www.hostelworld.com/hosteldetails.php/Hairy-Lemon/Saranda/28488,Atmosphere,100
Hairy Lemon,http://www.hostelworld.com/hosteldetails.php/Hairy-Lemon/Saranda/28488,Cleanliness,100
Hairy Lemon,http://www.hostelworld.com/hosteldetails.php/Hairy-Lemon/Saranda/28488,Facilities,80
Porto Eda Hotel,http://www.hostelworld.com/hosteldetails.php/Porto-Eda-Hotel/Saranda/19705,Value,87
Porto Eda Hotel,http://www.hostelworld.com/hosteldetails.php/Porto-Eda-Hotel/Saranda/19705,Safety,87
Porto Eda Hotel,http://www.hostelworld.com/hosteldetails.php/Porto-Eda-Hotel/Saranda/19705,Location,93
Porto Eda Hotel,http://www.hostelworld.com/hosteldetails.php/Porto-Eda-Hotel/Saranda/19705,Staff,93
Porto Eda Hotel,http://www.hostelworld.com/hosteldetails.php/Porto-Eda-Hotel/Saranda/19705,Atmosphere,80
Porto Eda Hotel,http://www.hostelworld.com/hosteldetails.php/Porto-Eda-Hotel/Saranda/19705,Cleanliness,87
Porto Eda Hotel,http://www.hostelworld.com/hosteldetails.php/Porto-Eda-Hotel/Saranda/19705,Facilities,87
Seaside - Saranda,http://www.hostelworld.com/hosteldetails.php/Seaside-Saranda/Saranda/59469,Value,100
Seaside - Saranda,http://www.hostelworld.com/hosteldetails.php/Seaside-Saranda/Saranda/59469,Safety,80
Seaside - Saranda,http://www.hostelworld.com/hosteldetails.php/Seaside-Saranda/Saranda/59469,Location,80
Seaside - Saranda,http://www.hostelworld.com/hosteldetails.php/Seaside-Saranda/Saranda/59469,Staff,100
Seaside - Saranda,http://www.hostelworld.com/hosteldetails.php/Seaside-Saranda/Saranda/59469,Atmosphere,100
Seaside - Saranda,http://www.hostelworld.com/hosteldetails.php/Seaside-Saranda/Saranda/59469,Cleanliness,100
Seaside - Saranda,http://www.hostelworld.com/hosteldetails.php/Seaside-Saranda/Saranda/59469,Facilities,80
Hostel Mi Casa es Tu Casa,http://www.hostelworld.com/hosteldetails.php/Hostel-Mi-Casa-es-Tu-Casa/Shkoder/75143,Value,96
Hostel Mi Casa es Tu Casa,http://www.hostelworld.com/hosteldetails.php/Hostel-Mi-Casa-es-Tu-Casa/Shkoder/75143,Safety,96
Hostel Mi Casa es Tu Casa,http://www.hostelworld.com/hosteldetails.php/Hostel-Mi-Casa-es-Tu-Casa/Shkoder/75143,Location,100
Hostel Mi Casa es Tu Casa,http://www.hostelworld.com/hosteldetails.php/Hostel-Mi-Casa-es-Tu-Casa/Shkoder/75143,Staff,100
Hostel Mi Casa es Tu Casa,http://www.hostelworld.com/hosteldetails.php/Hostel-Mi-Casa-es-Tu-Casa/Shkoder/75143,Atmosphere,98
