BBQ
Tea/Coffee Making Facilities
Wheelchair Accessible
Age Restriction
Credit Cards Accepted
No Curfew
Taxes Included
24 Hour Reception
Air Conditioning
Airport Transfers
Bar
Breakfast Not Included
Cable TV
Currency Exchange
Direct Dial Telephone
Elevator
Fax Service
Free Internet Access
Free Parking
Free WiFi
Gym
Indoor Swimming Pool
Laundry Facilities
Luggage Storage
Meeting Room
Outdoor Terrace
Restaurant
Safe Deposit Box
Wheelchair Accessible
Child Friendly
Credit Cards Accepted
Pet Friendly
Taxes Included
Air Conditioning
Airport Transfers
Bicycle Hire
Breakfast Included
Cable TV
Café
Card Phones
Currency Exchange
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Hairdryers
Housekeeping
Internet Access
Laundry Facilities
Luggage Storage
Minibar
Outdoor Terrace
Parking
Postal Service
Reading Light
Restaurant
Tours/Travel Desk
Child Friendly
Pet Friendly
Taxes Included
24 Hour Reception
24 Hour Security
Adaptors
Air Conditioning
Airport Transfers
Bar
BBQ
Bicycle Hire
Bicycle Parking
Board games
Book Exchange
Breakfast Included
Cafe
Card Phones
Common Room
Currency Exchange
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Games Room
Hairdryers
Hairdryers For Hire
Hot Showers
Housekeeping
Internet Access
Jobs Board
Kitchen
Laundry Facilities
Linen Included
Lockers
Luggage Storage
Meals available
Mini-Supermarket
Nightclub
Outdoor Terrace
Postal Service
Restaurant
Safe Deposit Box
Tours/Travel Desk
Towels for hire
Washing machine
Credit Cards Not Accepted
No Curfew
Pet Friendly
Taxes Included
24 Hour Reception
24 Hour Security
Adaptors
Air Conditioning
Airport Transfers
Bar
BBQ
Bicycle Hire
Bicycle Parking
Board games
Book Exchange
Breakfast Included
Common Room
Free City Maps
Free Internet Access
Free WiFi
Hairdryers
Hot Showers
Internet Access
Kitchen
Laundry Facilities
Linen Included
Lockers
Luggage Storage
Outdoor Terrace
Reading Light
Safe Deposit Box
Tea/Coffee Making Facilities
Tours/Travel Desk
Towels Included
Washing machine
Child Friendly
Curfew
Non Smoking
Pet Friendly
Taxes Included
24 Hour Reception
24 Hour Security
Airport Transfers
Bar
BBQ
Bicycle Hire
Bicycle Parking
Book Exchange
Breakfast Included
Cable TV
Cafe
Card Phones
Common Room
Currency Exchange
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Hairdryers
Hairdryers For Hire
Hot Showers
Internet Access
Kitchen
Laundry Facilities
Linen Included
Lockers
Luggage Storage
Meals available
Meeting Room
Outdoor Terrace
Parking
Postal Service
Reading Light
Safe Deposit Box
Tea/Coffee Making Facilities
Tours/Travel Desk
Towels for hire
Towels Included
Washing machine
Child Friendly
Credit Cards Not Accepted
Pet Friendly
Taxes Included
24 Hour Security
Airport Transfers
Bar
BBQ
Bicycle Hire
Bicycle Parking
Board games
Book Exchange
Breakfast Included
Cable TV
Common Room
Currency Exchange
DVD's
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Hairdryers
Hairdryers For Hire
Hot Showers
Internet Access
Kitchen
Laundry Facilities
Linen Included
Lockers
Luggage Storage
Meeting Room
Outdoor Terrace
Parking
Reading Light
Safe Deposit Box
Tea/Coffee Making Facilities
Tours/Travel Desk
Towels for hire
Towels Included
Washing machine
24 Hour Reception
24 Hour Security
Adaptors
Air Conditioning
Airport Transfers
Bar
Bicycle Parking
Breakfast Not Included
Cable TV
Cafe
Card Phones
Currency Exchange
Fax Service
Free Internet Access
Free WiFi
Hairdryers
Hairdryers For Hire
Hot Showers
Internet Access
Laundry Facilities
Linen Not Included
Lockers
Luggage Storage
Parking
Postal Service
Reading Light
Restaurant
Shuttle Bus
Tea/Coffee Making Facilities
Tours/Travel Desk
Towels for hire
Towels Included
Wii
24 Hour Reception
Air Conditioning
Airport Transfers
Breakfast Included
Cable TV
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Hot Showers
Housekeeping
Internet Access
Laundry Facilities
Linen Included
Luggage Storage
Parking
Reading Light
Towels Included
No Curfew
Taxes Included
Air Conditioning
Airport Transfers
Bicycle Parking
Breakfast Included
Cable TV
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Laundry Facilities
Linen Included
Luggage Storage
Reading Light
Towels for hire
Towels Included
Child Friendly
Taxes Included
Air Conditioning
Airport Transfers
Breakfast Included
Cable TV
Café
Free City Maps
Free Internet Access
Free WiFi
Hairdryers
Internet Access
Kitchen
Outdoor Terrace
Safe Deposit Box
Tea/Coffee Making Facilities
Towels Included
Child Friendly
Credit Cards Not Accepted
No Curfew
Non Smoking
Taxes Included
Free Internet Access
Swimming Pool
24 Hour Reception
24 Hour Security
Adaptors
Air Conditioning
Airport Transfers
Bar
Breakfast Included
Cable TV
Café
Currency Exchange
Elevator
Fax Service
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Hairdryers
Internet Access
Laundry Facilities
Luggage Storage
Meeting Room
Minibar
Outdoor Terrace
Parking
Postal Service
Reading Light
Restaurant
Safe Deposit Box
Tea/Coffee Making Facilities
Child Friendly
Non Smoking
Taxes Included
Air Conditioning
Airport Transfers
Bicycle Hire
Breakfast Not Included
Cable TV
Dryer
Free Internet Access
Free WiFi
Fridge/Freezer
Hairdryers
Internet Access
Iron/Ironing Board
Kitchen
Linen Included
Outdoor Terrace
Tea/Coffee Making Facilities
Towels Included
Utensils
Washing machine
Child Friendly
Credit Cards Not Accepted
No Curfew
Non Smoking
Taxes Included
